   indexX       indexY         intexZ      phi   
+3      +7     +32     -3.07953e-18     +1.77440
+3      +8     +32     +2.12930e-18     +1.99969
+3      +9     +32     -3.25985e-18     +2.22574
+3      +10     +32     +1.42279e-17     +2.45238
+3      +11     +32     -5.07342e-18     +2.67934
+3      +12     +32     -2.37849e-18     +2.90627
+3      +13     +32     -3.29844e-18     +3.13271
+3      +14     +32     +2.17974e-18     +3.35808
+3      +15     +32     +1.13423e-18     +3.58170
+3      +16     +32     +1.40493e-18     +3.80276
+3      +17     +32     +2.04271e-18     +4.02033
+3      +18     +32     -6.05573e-19     +4.23336
+3      +19     +32     +2.58219e-18     +4.44067
+3      +20     +32     -5.68337e-19     +4.64100
+3      +21     +32     -6.20352e-18     +4.83299
+3      +22     +32     +1.52836e-18     +5.01518
+3      +23     +32     -2.17014e-18     +5.18610
+3      +24     +32     -3.11638e-18     +5.34423
+3      +25     +32     +3.87747e-18     +5.48807
+3      +26     +32     +6.77817e-18     +5.61618
+3      +27     +32     +8.37237e-19     +5.72719
+3      +28     +32     +1.98448e-18     +5.81986
+3      +29     +32     -3.79798e-18     +5.89313
+3      +30     +32     +6.84195e-18     +5.94612
+3      +31     +32     +1.32737e-18     +5.97818
+3      +32     +32     +1.14242e-17     +5.98891
+3      +33     +32     +1.32737e-18     +5.97818
+3      +34     +32     +6.91359e-18     +5.94612
+3      +35     +32     -2.21253e-18     +5.89313
+3      +36     +32     -9.81029e-19     +5.81986
+3      +37     +32     +5.78722e-18     +5.72719
+3      +38     +32     +8.07371e-18     +5.61618
+3      +39     +32     +3.12772e-18     +5.48807
+3      +40     +32     +8.88260e-19     +5.34423
+3      +41     +32     -3.50923e-18     +5.18610
+3      +42     +32     +4.27844e-18     +5.01518
+3      +43     +32     -6.84285e-18     +4.83299
+3      +44     +32     -2.15816e-19     +4.64100
+3      +45     +32     +1.22210e-18     +4.44067
+3      +46     +32     +1.95330e-19     +4.23336
+3      +47     +32     +1.67512e-18     +4.02033
+3      +48     +32     +5.63699e-19     +3.80276
+3      +49     +32     +2.02307e-18     +3.58170
+3      +50     +32     +1.53996e-18     +3.35808
+3      +51     +32     -3.48733e-18     +3.13271
+3      +52     +32     -1.78425e-18     +2.90627
+3      +53     +32     -5.08340e-18     +2.67934
+3      +54     +32     +1.46611e-17     +2.45238
+3      +55     +32     -3.11123e-18     +2.22574
+3      +56     +32     +2.03370e-18     +1.99969
+3      +57     +32     -2.94975e-18     +1.77440
+3      +58     +32     +5.60606e-19     +1.54999
+3      +59     +32     +2.60332e-19     +1.32647
+3      +60     +32     -9.75794e-19     +1.10383
+3      +61     +32     -2.19292e-18     +0.881998
+3      +62     +32     +2.13281e-18     +0.660853
+3      +63     +32     +7.24643e-19     +0.440254
+4      +1     +32     +8.05759e-19     +0.550897
+4      +2     +32     -1.98105e-18     +0.826985
+4      +3     +32     +2.32083e-19     +1.10381
+4      +4     +32     +1.66178e-19     +1.38158
+4      +5     +32     +4.06250e-18     +1.66045
+4      +6     +32     -2.77156e-18     +1.94054
+4      +7     +32     -1.12025e-18     +2.22189
+4      +8     +32     -1.08668e-18     +2.50449
+4      +9     +32     -4.33829e-18     +2.78823
+4      +10     +32     +1.05136e-17     +3.07289
+4      +11     +32     -4.07055e-18     +3.35819
+4      +12     +32     -2.49181e-18     +3.64367
+4      +13     +32     -1.31590e-18     +3.92878
+4      +14     +32     +6.55462e-18     +4.21282
+4      +15     +32     +8.19714e-19     +4.49492
+4      +16     +32     -2.96138e-18     +4.77407
+4      +17     +32     +6.88820e-18     +5.04912
+4      +18     +32     -1.57333e-18     +5.31871
+4      +19     +32     +1.19208e-18     +5.58137
+4      +20     +32     +2.21807e-18     +5.83546
+4      +21     +32     -1.32945e-17     +6.07924
+4      +22     +32     +1.15291e-18     +6.31085
+4      +23     +32     -4.71832e-19     +6.52835
+4      +24     +32     +1.65257e-18     +6.72979
+4      +25     +32     +5.09764e-18     +6.91320
+4      +26     +32     +2.47718e-18     +7.07670
+4      +27     +32     -2.71245e-18     +7.21849
+4      +28     +32     +1.67164e-18     +7.33694
+4      +29     +32     +6.32425e-18     +7.43064
+4      +30     +32     +7.54312e-18     +7.49843
+4      +31     +32     +5.88128e-18     +7.53946
+4      +32     +32     +4.02322e-17     +7.55319
+4      +33     +32     +6.44510e-18     +7.53946
+4      +34     +32     +3.82671e-18     +7.49843
+4      +35     +32     +9.67268e-18     +7.43064
+4      +36     +32     +4.04317e-19     +7.33694
+4      +37     +32     +7.94461e-18     +7.21849
+4      +38     +32     -2.84645e-18     +7.07670
+4      +39     +32     +4.47300e-18     +6.91320
+4      +40     +32     +2.11564e-18     +6.72979
+4      +41     +32     -2.29602e-19     +6.52835
+4      +42     +32     +2.14966e-18     +6.31085
+4      +43     +32     -1.36722e-17     +6.07924
+4      +44     +32     +2.43479e-18     +5.83546
+4      +45     +32     +1.54473e-18     +5.58137
