   indexX       indexY         intexZ      phi   
+17      +19     +32     +9.35933e-19     +23.8696
+17      +20     +32     +1.75848e-18     +25.3972
+17      +21     +32     +4.32921e-19     +26.9380
+17      +22     +32     -2.73977e-18     +28.4786
+17      +23     +32     +2.69854e-18     +30.0016
+17      +24     +32     -9.51394e-18     +31.4857
+17      +25     +32     -3.85505e-19     +32.9056
+17      +26     +32     -4.93942e-18     +34.2325
+17      +27     +32     -7.62559e-18     +35.4345
+17      +28     +32     +1.45935e-17     +36.4786
+17      +29     +32     +2.48620e-18     +37.3323
+17      +30     +32     +1.02602e-17     +37.9661
+17      +31     +32     +8.48937e-18     +38.3567
+17      +32     +32     -7.71423e-18     +38.4887
+17      +33     +32     +9.05422e-18     +38.3567
+17      +34     +32     +6.47319e-18     +37.9661
+17      +35     +32     +3.91690e-19     +37.3323
+17      +36     +32     +1.40658e-17     +36.4786
+17      +37     +32     -9.68299e-18     +35.4345
+17      +38     +32     +4.89612e-18     +34.2325
+17      +39     +32     -1.23073e-18     +32.9056
+17      +40     +32     -9.30779e-18     +31.4857
+17      +41     +32     +2.69854e-18     +30.0016
+17      +42     +32     -2.35632e-18     +28.4786
+17      +43     +32     -4.13336e-19     +26.9380
+17      +44     +32     +3.36956e-18     +25.3972
+17      +45     +32     -2.93767e-19     +23.8696
+17      +46     +32     -4.24159e-18     +22.3655
+17      +47     +32     +7.62352e-18     +20.8922
+17      +48     +32     -3.77362e-18     +19.4548
+17      +49     +32     +3.56026e-18     +18.0562
+17      +50     +32     +4.77398e-18     +16.6979
+17      +51     +32     -1.29412e-18     +15.3800
+17      +52     +32     +4.37559e-19     +14.1018
+17      +53     +32     +5.10228e-19     +12.8619
+17      +54     +32     -1.93062e-18     +11.6582
+17      +55     +32     -3.81563e-18     +10.4883
+17      +56     +32     -3.17192e-18     +9.34951
+17      +57     +32     -1.91490e-18     +8.23897
+17      +58     +32     +3.48011e-18     +7.15367
+17      +59     +32     +8.76535e-19     +6.09052
+17      +60     +32     +1.46575e-18     +5.04638
+17      +61     +32     +2.37578e-18     +4.01809
+17      +62     +32     +8.91868e-19     +3.00248
+17      +63     +32     -1.69606e-18     +1.99637
+18      +1     +32     -1.15046e-18     +2.10098
+18      +2     +32     +4.45973e-18     +3.16046
+18      +3     +32     +2.96216e-19     +4.23076
+18      +4     +32     +7.64118e-18     +5.31553
+18      +5     +32     +1.65090e-18     +6.41844
+18      +6     +32     +1.07972e-18     +7.54319
+18      +7     +32     -3.43656e-18     +8.69352
+18      +8     +32     -1.94299e-18     +9.87316
+18      +9     +32     +6.37501e-18     +11.0858
+18      +10     +32     -1.14507e-17     +12.3352
+18      +11     +32     +2.06307e-18     +13.6248
+18      +12     +32     -5.75939e-18     +14.9580
+18      +13     +32     -9.78710e-18     +16.3379
+18      +14     +32     +5.44758e-18     +17.7670
+18      +15     +32     -1.68530e-18     +19.2472
+18      +16     +32     -2.18728e-18     +20.7796
+18      +17     +32     +2.66865e-18     +22.3639
+18      +18     +32     -1.41627e-18     +23.9982
+18      +19     +32     +8.24610e-18     +25.6784
+18      +20     +32     -1.30928e-17     +27.3978
+18      +21     +32     +5.98255e-18     +29.1460
+18      +22     +32     -2.87377e-18     +30.9087
+18      +23     +32     -1.64304e-18     +32.6668
+18      +24     +32     +1.52965e-18     +34.3957
+18      +25     +32     +7.47922e-18     +36.0653
+18      +26     +32     -5.88360e-18     +37.6397
+18      +27     +32     -6.14747e-18     +39.0785
+18      +28     +32     +8.94290e-18     +40.3386
+18      +29     +32     +3.97462e-18     +41.3762
+18      +30     +32     +5.81350e-19     +42.1511
+18      +31     +32     +1.15817e-17     +42.6306
+18      +32     +32     +2.32829e-17     +42.7929
+18      +33     +32     +1.15817e-17     +42.6306
+18      +34     +32     +1.15033e-18     +42.1511
+18      +35     +32     +2.28005e-18     +41.3762
+18      +36     +32     +2.16666e-17     +40.3386
+18      +37     +32     -1.95433e-18     +39.0785
+18      +38     +32     -8.14097e-18     +37.6397
+18      +39     +32     +8.60687e-18     +36.0653
+18      +40     +32     -4.67142e-18     +34.3957
+18      +41     +32     +3.83650e-18     +32.6668
+18      +42     +32     -3.91896e-18     +30.9087
+18      +43     +32     +4.93323e-18     +29.1460
+18      +44     +32     -1.12786e-17     +27.3978
+18      +45     +32     +9.47581e-18     +25.6784
+18      +46     +32     -4.68997e-19     +23.9982
+18      +47     +32     +4.09934e-18     +22.3639
+18      +48     +32     -2.08730e-18     +20.7796
+18      +49     +32     -3.57675e-19     +19.2472
+18      +50     +32     +4.88376e-18     +17.7670
+18      +51     +32     -1.00690e-17     +16.3379
+18      +52     +32     -4.71213e-18     +14.9580
+18      +53     +32     +1.30752e-18     +13.6248
+18      +54     +32     -1.09776e-17     +12.3352
+18      +55     +32     +4.76367e-18     +11.0858
+18      +56     +32     -1.57011e-18     +9.87316
+18      +57     +32     -4.33359e-18     +8.69352
+18      +58     +32     +1.36679e-18     +7.54319
+18      +59     +32     +3.47432e-18     +6.41844
+18      +60     +32     +7.38439e-18     +5.31553
+18      +61     +32     +6.03512e-19     +4.23076
+18      +62     +32     +4.44974e-18     +3.16046
+18      +63     +32     -7.47497e-19     +2.10098
+19      +1     +32     +1.06748e-18     +2.20262
+19      +2     +32     -8.17524e-19     +3.31406
+19      +3     +32     -7.61476e-20     +4.43771
+19      +4     +32     +4.71677e-18     +5.57772
+19      +5     +32     +3.25515e-18     +6.73832
+19      +6     +32     +2.81604e-18     +7.92380
+19      +7     +32     -3.23428e-18     +9.13854
+19      +8     +32     -9.26398e-19     +10.3870
+19      +9     +32     +9.26656e-19     +11.6737
+19      +10     +32     -7.74412e-18     +13.0033
+19      +11     +32     +4.00967e-18     +14.3802
+19      +12     +32     +2.02030e-18     +15.8090
+19      +13     +32     -3.66333e-18     +17.2941
+19      +14     +32     -3.37060e-18     +18.8393
+19      +15     +32     -3.57366e-18     +20.4481
+19      +16     +32     -6.35156e-18     +22.1233
+19      +17     +32     -7.32873e-19     +23.8662
+19      +18     +32     -4.57350e-18     +25.6765
+19      +19     +32     +1.36679e-18     +27.5520
+19      +20     +32     -3.63447e-18     +29.4869
+19      +21     +32     -1.32144e-18     +31.4717
+19      +22     +32     -1.11838e-17     +33.4921
+19      +23     +32     -4.76213e-19     +35.5274
+19      +24     +32     -3.04487e-18     +37.5499
+19      +25     +32     -7.34316e-18     +39.5238
+19      +26     +32     -2.34602e-18     +41.4054
+19      +27     +32     -5.97430e-18     +43.1432
+19      +28     +32     +2.64700e-18     +44.6799
+19      +29     +32     -7.66475e-18     +45.9566
+19      +30     +32     +1.12023e-17     +46.9169
+19      +31     +32     -4.45290e-18     +47.5140
+19      +32     +32     +6.88550e-18     +47.7168
+19      +33     +32     -4.45290e-18     +47.5140
+19      +34     +32     +1.17672e-17     +46.9169
+19      +35     +32     -1.25794e-17     +45.9566
+19      +36     +32     +1.63067e-17     +44.6799
+19      +37     +32     -8.62543e-18     +43.1432
+19      +38     +32     -8.03171e-18     +41.4054
+19      +39     +32     -2.43260e-18     +39.5238
+19      +40     +32     -5.90421e-18     +37.5499
+19      +41     +32     -1.04107e-18     +35.5274
+19      +42     +32     -1.03386e-17     +33.4921
+19      +43     +32     -5.10640e-18     +31.4717
+19      +44     +32     -1.35855e-18     +29.4869
+19      +45     +32     -1.37504e-18     +27.5520
+19      +46     +32     -4.85593e-18     +25.6765
+19      +47     +32     -1.67808e-18     +23.8662
+19      +48     +32     -4.84046e-18     +22.1233
+19      +49     +32     -2.52537e-18     +20.4481
+19      +50     +32     -1.75848e-18     +18.8393
+19      +51     +32     -4.61112e-18     +17.2941
+19      +52     +32     +1.35442e-18     +15.8090
+19      +53     +32     +3.20361e-18     +14.3802
+19      +54     +32     -7.37150e-18     +13.0033
+19      +55     +32     +1.49100e-18     +11.6737
+19      +56     +32     -2.44729e-18     +10.3870
+19      +57     +32     -3.02271e-18     +9.13854
+19      +58     +32     +3.93417e-18     +7.92380
+19      +59     +32     +2.97813e-18     +6.73832
+19      +60     +32     +4.55043e-18     +5.57772
+19      +61     +32     -3.83315e-19     +4.43771
+19      +62     +32     -2.35723e-19     +3.31406
+19      +63     +32     +1.06252e-18     +2.20262
+20      +1     +32     +4.73893e-18     +2.30068
+20      +2     +32     +2.96164e-18     +3.46233
+20      +3     +32     -6.60230e-18     +4.63766
+20      +4     +32     +2.37849e-18     +5.83133
+20      +5     +32     +2.12260e-18     +7.04817
+20      +6     +32     -5.56947e-18     +8.29309
+20      +7     +32     -4.15990e-18     +9.57119
+20      +8     +32     -1.42477e-18     +10.8877
+20      +9     +32     +1.18538e-20     +12.2482
+20      +10     +32     -1.36308e-17     +13.6581
+20      +11     +32     +7.39315e-18     +15.1232
+20      +12     +32     -1.89042e-18     +16.6494
+20      +13     +32     -4.63792e-18     +18.2425
+20      +14     +32     +1.52862e-18     +19.9082
+20      +15     +32     -4.59720e-19     +21.6519
+20      +16     +32     -1.11982e-17     +23.4784
+20      +17     +32     +5.21051e-18     +25.3916
+20      +18     +32     +8.22343e-18     +27.3936
+20      +19     +32     -4.52917e-18     +29.4845
+20      +20     +32     -3.55201e-18     +31.6611
+20      +21     +32     -3.08198e-18     +33.9157
+20      +22     +32     +2.48826e-18     +36.2349
+20      +23     +32     -7.17823e-18     +38.5976
+20      +24     +32     +1.70694e-18     +40.9735
+20      +25     +32     +1.27815e-19     +43.3213
+20      +26     +32     -1.09343e-17     +45.5877
+20      +27     +32     +2.26768e-19     +47.7072
+20      +28     +32     +6.62575e-18     +49.6040
+20      +29     +32     +1.10250e-17     +51.1969
+20      +30     +32     +6.13923e-18     +52.4059
+20      +31     +32     -2.02854e-18     +53.1626
+20      +32     +32     +1.26990e-17     +53.4204
+20      +33     +32     -2.02854e-18     +53.1626
+20      +34     +32     +1.10951e-17     +52.4059
+20      +35     +32     +4.61782e-18     +51.1969
+20      +36     +32     +2.26768e-18     +49.6040
+20      +37     +32     +2.11925e-18     +47.7072
+20      +38     +32     -1.01592e-17     +45.5877
+20      +39     +32     -4.41167e-19     +43.3213
+20      +40     +32     -5.48366e-19     +40.9735
+20      +41     +32     -2.82841e-18     +38.5976
+20      +42     +32     +1.16064e-18     +36.2349
+20      +43     +32     -2.71915e-18     +33.9157
+20      +44     +32     -2.40374e-18     +31.6611
+20      +45     +32     -3.96431e-18     +29.4845
+20      +46     +32     +9.83760e-18     +27.3936
+20      +47     +32     +2.08730e-18     +25.3916
+20      +48     +32     -1.20651e-17     +23.4784
+20      +49     +32     +2.37076e-20     +21.6519
+20      +50     +32     +1.62861e-18     +19.9082
+20      +51     +32     -2.36045e-18     +18.2425
+20      +52     +32     -1.36525e-18     +16.6494
+20      +53     +32     +9.38819e-18     +15.1232
+20      +54     +32     -1.62809e-17     +13.6581
+20      +55     +32     +7.16380e-19     +12.2482
+20      +56     +32     -2.13986e-18     +10.8877
+20      +57     +32     -5.15691e-18     +9.57119
+20      +58     +32     -4.57247e-18     +8.29309
+20      +59     +32     +2.71735e-18     +7.04817
+20      +60     +32     +2.73642e-18     +5.83133
+20      +61     +32     -6.23444e-18     +4.63766
+20      +62     +32     +3.09500e-18     +3.46233
+20      +63     +32     +4.50224e-18     +2.30068
+21      +1     +32     +1.38696e-18     +2.39450
+21      +2     +32     -2.05805e-18     +3.60429
+21      +3     +32     +1.45338e-18     +4.82925
+21      +4     +32     -1.33767e-18     +6.07462
+21      +5     +32     -2.50501e-18     +7.34581
+21      +6     +32     -5.79804e-19     +8.64843
+21      +7     +32     -3.87052e-18     +9.98834
+21      +8     +32     +5.29400e-18     +11.3717
+21      +9     +32     +1.06014e-18     +12.8048
+21      +10     +32     -4.13233e-18     +14.2946
+21      +11     +32     +4.97034e-18     +15.8480
+21      +12     +32     +1.45080e-18     +17.4725
+21      +13     +32     -3.39533e-18     +19.1757
+21      +14     +32     +8.20178e-18     +20.9654
+21      +15     +32     +3.18506e-19     +22.8494
+21      +16     +32     +2.29036e-18     +24.8353
+21      +17     +32     +5.01363e-18     +26.9300
+21      +18     +32     -3.85299e-18     +29.1392
+21      +19     +32     -8.36361e-18     +31.4667
+21      +20     +32     -3.83032e-18     +33.9129
+21      +21     +32     +7.76989e-18     +36.4738
+21      +22     +32     -3.01807e-18     +39.1388
+21      +23     +32     -6.95971e-18     +41.8884
+21      +24     +32     -4.21788e-18     +44.6909
+21      +25     +32     +1.19981e-18     +47.5002
+21      +26     +32     -1.49255e-18     +50.2526
+21      +27     +32     -9.68917e-18     +52.8655
+21      +28     +32     +1.28474e-17     +55.2384
+21      +29     +32     -1.28309e-17     +57.2581
+21      +30     +32     -5.19505e-19     +58.8087
+21      +31     +32     +2.24212e-17     +59.7875
+21      +32     +32     -6.46495e-17     +60.1225
+21      +33     +32     +2.24212e-17     +59.7875
+21      +34     +32     -2.20996e-18     +58.8087
+21      +35     +32     -3.72724e-18     +57.2581
+21      +36     +32     +1.58738e-17     +55.2384
+21      +37     +32     -1.21383e-17     +52.8655
+21      +38     +32     -4.14779e-18     +50.2526
+21      +39     +32     +4.22613e-18     +47.5002
+21      +40     +32     -3.45099e-18     +44.6909
+21      +41     +32     -8.08943e-18     +41.8884
+21      +42     +32     -2.25119e-18     +39.1388
+21      +43     +32     +3.97875e-18     +36.4738
+21      +44     +32     -1.93577e-18     +33.9129
+21      +45     +32     -8.64810e-18     +31.4667
+21      +46     +32     -3.85299e-18     +29.1392
+21      +47     +32     +7.29059e-18     +26.9300
+21      +48     +32     +1.52553e-18     +24.8353
+21      +49     +32     +6.99888e-19     +22.8494
+21      +50     +32     +6.97208e-18     +20.9654
+21      +51     +32     -5.47026e-18     +19.1757
+21      +52     +32     +3.16290e-18     +17.4725
+21      +53     +32     +5.96812e-18     +15.8480
+21      +54     +32     -4.37353e-18     +14.2946
+21      +55     +32     +2.00638e-18     +12.8048
+21      +56     +32     +3.29947e-18     +11.3717
+21      +57     +32     -4.06198e-18     +9.98834
+21      +58     +32     -6.00162e-19     +8.64843
+21      +59     +32     -1.43740e-18     +7.34581
+21      +60     +32     -1.42851e-18     +6.07462
+21      +61     +32     +1.34759e-18     +4.82925
+21      +62     +32     -2.21176e-18     +3.60429
+21      +63     +32     +1.49274e-18     +2.39450
+22      +1     +32     -3.54363e-18     +2.48340
+22      +2     +32     -2.37591e-19     +3.73888
+22      +3     +32     -1.03927e-18     +5.01105
+22      +4     +32     -2.46095e-18     +6.30572
+22      +5     +32     +1.78142e-18     +7.62893
+22      +6     +32     -6.59431e-19     +8.98701
+22      +7     +32     -2.75111e-18     +10.3866
+22      +8     +32     -4.60133e-18     +11.8348
+22      +9     +32     +6.05264e-18     +13.3390
+22      +10     +32     +1.98216e-18     +14.9073
+22      +11     +32     +2.46095e-18     +16.5482
+22      +12     +32     +2.01514e-19     +18.2709
+22      +13     +32     -3.07477e-18     +20.0850
+22      +14     +32     +3.10363e-18     +22.0010
+22      +15     +32     -3.11806e-18     +24.0294
+22      +16     +32     -4.41167e-18     +26.1814
+22      +17     +32     +7.29574e-18     +28.4678
+22      +18     +32     +4.13542e-18     +30.8990
+22      +19     +32     +9.58610e-19     +33.4838
+22      +20     +32     +5.15382e-19     +36.2286
+22      +21     +32     +1.75230e-18     +39.1353
+22      +22     +32     -3.86330e-18     +42.1989
+22      +23     +32     -5.43831e-18     +45.4043
+22      +24     +32     -4.72914e-18     +48.7219
+22      +25     +32     -2.89851e-18     +52.1029
+22      +26     +32     -1.10415e-17     +55.4738
+22      +27     +32     -1.25258e-17     +58.7321
+22      +28     +32     +1.34659e-17     +61.7448
+22      +29     +32     -1.16435e-17     +64.3530
+22      +30     +32     +2.25943e-18     +66.3855
+22      +31     +32     +1.10498e-18     +67.6830
+22      +32     +32     +9.38407e-18     +68.1297
+22      +33     +32     +1.10498e-18     +67.6830
+22      +34     +32     +4.59308e-18     +66.3855
+22      +35     +32     +3.91690e-18     +64.3530
+22      +36     +32     +5.17855e-18     +61.7448
+22      +37     +32     +2.05328e-18     +58.7321
+22      +38     +32     -1.25258e-17     +55.4738
+22      +39     +32     -4.02822e-18     +52.1029
+22      +40     +32     -2.06977e-18     +48.7219
+22      +41     +32     -2.21408e-18     +45.4043
+22      +42     +32     -1.76467e-18     +42.1989
+22      +43     +32     +1.55439e-18     +39.1353
+22      +44     +32     -2.50682e-18     +36.2286
+22      +45     +32     +1.04107e-18     +33.4838
+22      +46     +32     +4.21788e-18     +30.8990
+22      +47     +32     +3.89010e-18     +28.4678
+22      +48     +32     -4.51268e-18     +26.1814
+22      +49     +32     -3.56644e-19     +24.0294
+22      +50     +32     +3.48913e-18     +22.0010
+22      +51     +32     -7.97811e-19     +20.0850
+22      +52     +32     +1.63221e-18     +18.2709
+22      +53     +32     +4.59514e-18     +16.5482
+22      +54     +32     -8.59656e-19     +14.9073
+22      +55     +32     +7.14061e-18     +13.3390
+22      +56     +32     -5.31616e-18     +11.8348
+22      +57     +32     -3.22448e-18     +10.3866
+22      +58     +32     +5.49654e-19     +8.98701
+22      +59     +32     +4.82139e-19     +7.62893
+22      +60     +32     -1.82149e-18     +6.30572
+22      +61     +32     -6.36367e-19     +5.01105
+22      +62     +32     -1.06426e-19     +3.73888
+22      +63     +32     -3.50833e-18     +2.48340
+23      +1     +32     -2.57324e-18     +2.56667
+23      +2     +32     +2.72508e-18     +3.86502
+23      +3     +32     +2.99952e-19     +5.18157
+23      +4     +32     +6.60204e-19     +6.52272
+23      +5     +32     +2.59031e-18     +7.89515
+23      +6     +32     +3.19279e-19     +9.30588
+23      +7     +32     +5.70527e-19     +10.7624
+23      +8     +32     +3.20567e-19     +12.2727
+23      +9     +32     +6.12995e-18     +13.8455
+23      +10     +32     -7.66115e-18     +15.4901
+23      +11     +32     +4.85747e-18     +17.2166
+23      +12     +32     -6.41135e-19     +19.0361
+23      +13     +32     +7.93688e-19     +20.9608
+23      +14     +32     +7.53179e-18     +23.0036
+23      +15     +32     -1.68117e-18     +25.1788
+23      +16     +32     -6.78242e-19     +27.5015
+23      +17     +32     +6.88344e-18     +29.9877
+23      +18     +32     -1.23692e-20     +32.6537
+23      +19     +32     +3.03044e-19     +35.5154
+23      +20     +32     -3.87979e-18     +38.5874
+23      +21     +32     -1.46781e-18     +41.8806
+23      +22     +32     -7.56992e-18     +45.3999
+23      +23     +32     +2.28417e-18     +49.1395
+23      +24     +32     -5.68981e-18     +53.0774
+23      +25     +32     +1.59974e-18     +57.1672
+23      +26     +32     -2.72121e-18     +61.3294
+23      +27     +32     +1.05550e-18     +65.4408
+23      +28     +32     +1.11157e-17     +69.3280
+23      +29     +32     -3.19949e-18     +72.7671
+23      +30     +32     +7.48746e-18     +75.5000
+23      +31     +32     +1.30948e-17     +77.2715
+23      +32     +32     -2.80697e-17     +77.8867
+23      +33     +32     +1.30948e-17     +77.2715
+23      +34     +32     +8.62543e-18     +75.5000
+23      +35     +32     -1.41668e-17     +72.7671
+23      +36     +32     +1.56181e-17     +69.3280
+23      +37     +32     -6.50618e-18     +65.4408
+23      +38     +32     -5.94544e-18     +61.3294
+23      +39     +32     +7.07516e-18     +57.1672
+23      +40     +32     -1.20888e-17     +53.0774
+23      +41     +32     +2.28005e-18     +49.1395
+23      +42     +32     -1.12147e-18     +45.3999
+23      +43     +32     -2.59340e-18     +41.8806
+23      +44     +32     -1.22249e-18     +38.5874
+23      +45     +32     -1.95639e-18     +35.5154
+23      +46     +32     -3.51903e-18     +32.6537
+23      +47     +32     +8.01315e-18     +29.9877
+23      +48     +32     -1.34412e-18     +27.5015
+23      +49     +32     +6.94734e-19     +25.1788
+23      +50     +32     +5.35585e-18     +23.0036
+23      +51     +32     +4.08182e-19     +20.9608
+23      +52     +32     -8.23580e-19     +19.0361
+23      +53     +32     +4.15140e-18     +17.2166
+23      +54     +32     -6.43145e-18     +15.4901
+23      +55     +32     +6.27116e-18     +13.8455
+23      +56     +32     -5.35997e-19     +12.2727
+23      +57     +32     +6.21292e-19     +10.7624
+23      +58     +32     +1.52759e-18     +9.30588
+23      +59     +32     +2.69106e-18     +7.89515
+23      +60     +32     +8.76664e-19     +6.52272
+23      +61     +32     +1.93783e-19     +5.18157
+23      +62     +32     +2.58387e-18     +3.86502
+23      +63     +32     -2.72179e-18     +2.56667
+24      +1     +32     -2.65699e-18     +2.64360
+24      +2     +32     -1.12237e-18     +3.98162
+24      +3     +32     -3.69786e-20     +5.33932
+24      +4     +32     -1.84610e-18     +6.72368
+24      +5     +32     +1.00422e-18     +8.14199
+24      +6     +32     +4.70311e-18     +9.60201
+24      +7     +32     +9.27429e-19     +11.1121
+24      +8     +32     -2.61298e-18     +12.6811
+24      +9     +32     +6.17839e-18     +14.3190
+24      +10     +32     +1.85074e-18     +16.0365
+24      +11     +32     +8.92177e-18     +17.8455
+24      +12     +32     +4.30034e-18     +19.7590
+24      +13     +32     +5.40120e-19     +21.7919
+24      +14     +32     -2.80883e-18     +23.9602
+24      +15     +32     +2.17491e-19     +26.2821
+24      +16     +32     +5.37852e-18     +28.7775
+24      +17     +32     -2.56042e-18     +31.4686
+24      +18     +32     -4.06327e-18     +34.3789
+24      +19     +32     -1.16682e-18     +37.5338
+24      +20     +32     -4.37456e-18     +40.9587
+24      +21     +32     +5.97018e-18     +44.6782
+24      +22     +32     -4.53123e-18     +48.7122
+24      +23     +32     -2.35839e-18     +53.0718
+24      +24     +32     +4.18902e-18     +57.7514
+24      +25     +32     +8.24610e-20     +62.7178
+24      +26     +32     -1.56676e-17     +67.8946
+24      +27     +32     -1.83228e-17     +73.1437
+24      +28     +32     +1.28804e-17     +78.2454
+24      +29     +32     -2.98509e-18     +82.8871
+24      +30     +32     +3.03457e-18     +86.6739
+24      +31     +32     +1.04890e-17     +89.1819
+24      +32     +32     -1.94608e-17     +90.0643
+24      +33     +32     +1.04890e-17     +89.1819
+24      +34     +32     +3.03457e-18     +86.6739
+24      +35     +32     -1.45131e-18     +82.8871
+24      +36     +32     +1.93124e-17     +78.2454
+24      +37     +32     -1.29959e-17     +73.1437
+24      +38     +32     -1.03489e-17     +67.8946
+24      +39     +32     -1.45131e-18     +62.7178
+24      +40     +32     -3.54583e-18     +57.7514
+24      +41     +32     -1.22867e-18     +53.0718
+24      +42     +32     -3.40564e-18     +48.7122
+24      +43     +32     +5.40532e-18     +44.6782
+24      +44     +32     -3.40976e-18     +40.9587
+24      +45     +32     +3.18094e-18     +37.5338
+24      +46     +32     -3.85918e-18     +34.3789
+24      +47     +32     -1.79559e-18     +31.4686
+24      +48     +32     +4.32921e-18     +28.7775
+24      +49     +32     +1.92856e-18     +26.2821
+24      +50     +32     -2.80883e-18     +23.9602
+24      +51     +32     +2.57691e-19     +21.7919
+24      +52     +32     +5.62900e-18     +19.7590
+24      +53     +32     +8.25744e-18     +17.8455
+24      +54     +32     +2.51506e-18     +16.0365
+24      +55     +32     +6.07686e-18     +14.3190
+24      +56     +32     -3.66024e-18     +12.6811
+24      +57     +32     +3.62571e-19     +11.1121
+24      +58     +32     +4.08878e-18     +9.60201
+24      +59     +32     +3.54273e-18     +8.14199
+24      +60     +32     -1.74534e-18     +6.72368
+24      +61     +32     +6.12789e-19     +5.33932
+24      +62     +32     -1.36898e-18     +3.98162
+24      +63     +32     -2.18354e-18     +2.64360
+25      +1     +32     -9.81737e-19     +2.71349
+25      +2     +32     +1.20586e-18     +4.08759
+25      +3     +32     -1.44784e-18     +5.48280
+25      +4     +32     +2.67225e-19     +6.90663
+25      +5     +32     +3.28298e-19     +8.36699
+25      +6     +32     +2.22052e-18     +9.87234
+25      +7     +32     +2.03524e-18     +11.4318
+25      +8     +32     -1.64201e-18     +13.0554
+25      +9     +32     +6.27735e-18     +14.7541
+25      +10     +32     -8.53575e-18     +16.5400
+25      +11     +32     +3.64581e-18     +18.4268
+25      +12     +32     -1.12972e-18     +20.4299
+25      +13     +32     +1.28433e-18     +22.5665
+25      +14     +32     -5.97843e-20     +24.8564
+25      +15     +32     +2.73771e-18     +27.3219
+25      +16     +32     +2.24706e-18     +29.9884
+25      +17     +32     -9.83348e-19     +32.8851
+25      +18     +32     -1.36885e-18     +36.0445
+25      +19     +32     +2.18109e-18     +39.5033
+25      +20     +32     -4.03647e-18     +43.3015
+25      +21     +32     -1.03076e-19     +47.4818
+25      +22     +32     -2.69235e-18     +52.0869
+25      +23     +32     -1.17095e-18     +57.1548
+25      +24     +32     -1.21795e-17     +62.7105
+25      +25     +32     -1.17260e-17     +68.7519
+25      +26     +32     -9.30161e-18     +75.2267
+25      +27     +32     -4.55185e-18     +82.0003
+25      +28     +32     +5.27751e-19     +88.8136
+25      +29     +32     +1.01922e-17     +95.2413
+25      +30     +32     -1.23032e-17     +100.677
+25      +31     +32     +2.83666e-18     +104.391
+25      +32     +32     +1.24021e-17     +105.725
+25      +33     +32     +2.83666e-18     +104.391
+25      +34     +32     -1.23032e-17     +100.677
+25      +35     +32     +5.54138e-18     +95.2413
+25      +36     +32     -8.18014e-18     +88.8136
+25      +37     +32     -1.02911e-17     +82.0003
+25      +38     +32     -2.86964e-18     +75.2267
+25      +39     +32     -1.45461e-17     +68.7519
+25      +40     +32     -4.27973e-18     +62.7105
+25      +41     +32     -2.30066e-18     +57.1548
+25      +42     +32     -4.58483e-18     +52.0869
+25      +43     +32     +6.63811e-19     +47.4818
+25      +44     +32     -3.47161e-18     +43.3015
+25      +45     +32     +1.82239e-18     +39.5033
+25      +46     +32     +2.41611e-18     +36.0445
+25      +47     +32     -5.00951e-19     +32.8851
+25      +48     +32     +1.96670e-18     +29.9884
+25      +49     +32     +4.44877e-18     +27.3219
+25      +50     +32     +8.06057e-19     +24.8564
+25      +51     +32     +3.38090e-19     +22.5665
+25      +52     +32     +2.37591e-18     +20.4299
+25      +53     +32     +9.06041e-19     +18.4268
+25      +54     +32     -6.50154e-18     +16.5400
+25      +55     +32     +5.52231e-18     +14.7541
+25      +56     +32     -1.60129e-18     +13.0554
+25      +57     +32     +1.84404e-18     +11.4318
+25      +58     +32     +7.49622e-19     +9.87234
+25      +59     +32     +4.68997e-19     +8.36699
+25      +60     +32     +4.33436e-19     +6.90663
+25      +61     +32     -1.75475e-18     +5.48280
+25      +62     +32     +1.26616e-18     +4.08759
+25      +63     +32     -1.13036e-18     +2.71349
+26      +1     +32     -4.57208e-19     +2.77565
+26      +2     +32     +2.37243e-18     +4.18190
+26      +3     +32     -1.85705e-18     +5.61058
+26      +4     +32     -6.45258e-19     +7.06970
+26      +5     +32     -2.50759e-18     +8.56776
+26      +6     +32     -8.95733e-19     +10.1139
+26      +7     +32     -1.46575e-18     +11.7180
+26      +8     +32     +3.83908e-18     +13.3910
+26      +9     +32     +5.81814e-18     +15.1451
+26      +10     +32     -8.01058e-18     +16.9937
+26      +11     +32     +8.11726e-18     +18.9524
+26      +12     +32     -1.72859e-18     +21.0385
+26      +13     +32     +9.41087e-19     +23.2723
+26      +14     +32     +2.84078e-18     +25.6769
+26      +15     +32     -4.28385e-18     +28.2793
+26      +16     +32     -2.09451e-18     +31.1110
+26      +17     +32     -5.96606e-18     +34.2085
+26      +18     +32     +1.58531e-18     +37.6149
+26      +19     +32     +7.46273e-19     +41.3802
+26      +20     +32     -2.18109e-18     +45.5624
+26      +21     +32     +2.84078e-18     +50.2279
+26      +22     +32     -2.71297e-18     +55.4505
+26      +23     +32     +8.33681e-18     +61.3087
+26      +24     +32     -1.69870e-18     +67.8782
+26      +25     +32     +3.05106e-18     +75.2169
+26      +26     +32     -1.13301e-17     +83.3360
+26      +27     +32     +4.20551e-18     +92.1504
+26      +28     +32     +8.93878e-18     +101.400
+26      +29     +32     -1.38205e-17     +110.547
+26      +30     +32     -8.21312e-18     +118.675
+26      +31     +32     -2.91582e-17     +124.497
+26      +32     +32     +1.97907e-18     +126.666
+26      +33     +32     -2.91582e-17     +124.497
+26      +34     +32     -9.33459e-18     +118.675
