   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
+0.0012172729       -0.0097692367       +0.00094336397       -0.027897839       -0.0018874904       -0.0021228641       
+0.0018927527       -0.042109191       +0.0013453860       -0.040249246       -0.00060889326       +0.0021879910       
-0.0021819127       +0.067714940       +0.00079370263       -0.041961802       -0.00060808615       -0.0011065404       
+0.0018655675       -0.038026148       +0.00097532999       -0.037133564       -0.0018967373       +7.6765875e-05       
+2.6469644e-05       -0.028762440       -0.0010864353       +0.048867603       -0.0013681526       +0.00083032284       
-0.00039054079       +0.028006341       -0.00095698764       +0.0021293981       +0.00029052047       -0.0014045629       
+0.00017839479       -0.025314622       +0.0019559201       -0.073896302       +0.0036425389       -0.0016765696       
+0.00035032758       -0.038150861       -0.00094211289       +0.046521243       -0.0029841253       +0.00050092923       
+0.0018790451       -0.054318485       -0.00035075067       -0.012850284       +0.0025147424       -0.00071790844       
-0.00037894583       +0.036982237       +0.0013632389       -0.057864244       +0.0017437473       -0.00060877695       
-0.0015333655       +0.061001223       +0.0018250187       -0.048409875       +0.0012437982       +0.0018706088       
-0.00092651808       +0.0090295423       +0.0011404694       -0.014653673       +0.0025798422       +0.0014084983       
+0.0017611237       -0.055513237       -0.0011289134       +0.013725737       -0.0016590256       -0.00015839161       
+0.0010326361       -0.0090497501       +0.00017108757       -0.027197708       +0.0033190300       +0.0021801590       
-0.0021836650       +0.065211481       -0.0015125086       +0.045041949       +0.0011339437       -0.0018340061       
-0.00034821389       +0.029484013       +0.00091607657       -0.054974408       +0.0012903914       +0.0020022467       
+0.0020381479       -0.070649267       -0.0014091152       +0.033079487       -0.0022052725       -0.0020498426       
-0.0010253523       +0.057725722       -0.00095592197       +0.044422966       +0.0025585337       +0.00064151578       
+0.00062869536       -0.038373300       -0.0016714098       +0.069974898       -0.00099353192       -0.0020628578       
-0.00025561182       +0.035237060       -0.00077143247       +0.0054647026       -0.0026971540       +0.00093989592       
+0.00068009369       -0.049748274       +0.0011967860       -0.028991455       +0.0019187009       +0.00091020218       
-0.0012643289       +0.063050862       -6.8469057e-05       -0.017299678       +0.0030810643       +0.0011737601       
+0.0016616477       -0.065173719       -0.00012042699       -0.019883789       +0.0026243640       -0.0024360078       
-0.00097782663       +0.060450499       +0.00077806472       -0.031062946       -0.0012493880       +0.00089489480       
-0.00057508657       +0.0091422174       -0.0022323427       +0.084921042       -0.00098979783       -0.0021734683       
-0.0010303208       +0.055315097       -0.00041116817       -0.0086006315       -0.0033513437       -0.0023322516       
-0.00056208818       -0.012074240       -0.00060711517       +0.0045772002       +0.0033260010       +0.0019903856       
+0.0011584316       -0.034729414       +0.0024047908       -0.075870640       +0.0023861204       -0.0013988272       
-0.0011907481       +0.0097357890       +0.00042034100       -0.026466844       -0.0010112674       +0.0012688287       
+0.0017062136       -0.047448550       +0.0017513168       -0.042055704       -0.0026017116       -0.0024190055       
-0.00073509517       +0.051751410       +0.00093818586       -0.040918425       +0.0029289163       +0.0016337763       
-0.0016491750       +0.032411375       +0.00022757154       +0.012089393       +0.0031535854       -0.0020220008       
+0.0022441610       -0.053247051       +0.00041237760       -0.0065810867       +0.0031546337       +0.0012734323       
+0.00032657556       +0.0048443884       -0.0022770032       +0.080370600       +0.0016947409       -0.0010724027       
+0.0012047291       -0.027028750       +0.0018886771       -0.043413346       +0.0025894596       +0.0018378433       
-0.0024980366       +0.077706027       -0.00084197045       +0.031986752       +0.0035838731       +0.00047808612       
-0.00016135893       -0.0087814776       +0.0016121421       -0.026548182       +0.00037540919       +0.0019028729       
-0.0018264886       +0.051587779       +0.0011088093       -0.014585691       -0.0012839669       -0.00051836862       
-0.00048007581       -0.0085954352       +0.00080322320       -0.047399444       +0.0029774206       +0.00082648887       
-0.00031075071       +0.038097455       +0.00096408435       -0.045069775       -0.0032144877       -0.0011870046       
-0.0020729230       +0.063514474       +0.00088533472       -0.0091017989       +0.0017454602       -0.0018374026       
+0.00099140734       -0.057535478       +0.00024589965       -0.025605079       -0.0015428326       +0.00085020772       
+0.0013651459       -0.059564592       +0.0012222956       -0.056943918       -0.0035528771       -0.0019429629       
-0.00072662027       +0.0041607902       +0.0019443720       -0.049275096       +0.0029539808       -0.00051506966       
-0.0018335997       +0.080244377       +0.00041947129       -0.0041488452       +0.0027639825       -0.0022673343       
