  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
        2.79988       0.149974       0.306307       0.324197     0.00177333      0.0638453         100.23        111.026        1.18887        1.93524        2.05328    0.000206215     0.00222675        8.66945        9.15342        2.72692       -2.65473       -2.97094       -1.53043           1000           1000
        2.89987       0.149974       0.315713       0.334726     0.00187395      0.0674679         100.23        111.026        1.18887        1.93529         2.0532    0.000206215     0.00222675        9.20985        9.75804        3.04514       -2.74754       -3.07831       -1.65295           1000           1000
        2.99986       0.149974       0.325158       0.345291     0.00197659      0.0711633         100.23        111.026        1.18887        1.93535        2.05312    0.000206215     0.00222675        9.76882        10.3841        3.38787       -2.84035       -3.18568       -1.77547           1000           1000
        3.09985       0.149974       0.334636       0.355888     0.00208096       0.074921         100.23        111.026        1.18887        1.93541        2.05304    0.000206215     0.00222675        10.3463        11.0317        3.75509       -2.93315       -3.29307       -1.89799           1000           1000
        3.19984       0.149974       0.344145       0.366514     0.00218681      0.0787318         100.23        111.026        1.18887        1.93546        2.05296    0.000206215     0.00222676        10.9424        11.7008         4.1468       -3.02594       -3.40046       -2.02051           1000           1000
        3.29983       0.149974       0.353684       0.377167     0.00229393      0.0825885         100.23        111.026        1.18887        1.93552        2.05288    0.000206216     0.00222676         11.557        12.3913        4.56301       -3.11873       -3.50786       -2.14303           1000           1000
        3.39982       0.149974       0.363248       0.387844     0.00240215      0.0864849         100.23        111.026        1.18887        1.93557         2.0528    0.000206216     0.00222676        12.1902        13.1034        5.00371       -3.21152       -3.61527       -2.26555           1000           1000
        3.49981       0.149974       0.372837       0.398544     0.00251134      0.0904159         100.23        111.026        1.18887        1.93563        2.05271    0.000206216     0.00222677        12.8419        13.8369         5.4689        -3.3043       -3.72269       -2.38807           1000           1000
         3.5998       0.149974       0.382449       0.409265     0.00262136      0.0943771         100.23        111.026        1.18887        1.93568        2.05263    0.000206217     0.00222677        13.5122        14.5919         5.9586       -3.39707       -3.83012       -2.51059           1000           1000
        3.69979       0.149974       0.392082       0.420006     0.00273213       0.098365         100.23        111.026        1.18887        1.93574        2.05255    0.000206217     0.00222677        14.2011        15.3684        6.47278       -3.48984       -3.93755        -2.6331           1000           1000
        3.79979       0.149974       0.401734       0.430764     0.00284354       0.102376         100.23        111.026        1.18887        1.93579        2.05247    0.000206217     0.00222678        14.9084        16.1664        7.01146       -3.58261         -4.045       -2.75562           1000           1000
        3.89978       0.149974       0.411404       0.441538     0.00295554       0.106409         100.23        111.026        1.18887        1.93585        2.05239    0.000206218     0.00222678        15.6343        16.9859        7.57463       -3.67536       -4.15245       -2.87814           1000           1000
        3.99977       0.149974       0.421091       0.452328     0.00306805       0.110459         100.23        111.026        1.18887        1.93591        2.05231    0.000206218     0.00222678        16.3788        17.8269         8.1623       -3.76812       -4.25991       -3.00065           1000           1000
        4.09976       0.149974       0.430794       0.463132     0.00318102       0.114527         100.23        111.026        1.18887        1.93596        2.05223    0.000206218     0.00222679        17.1418        18.6895        8.77445       -3.86086       -4.36738       -3.12317           1000           1000
        4.19975       0.149974       0.440511       0.473949     0.00329441       0.118609         100.23        111.026        1.18887        1.93602        2.05215    0.000206219     0.00222679        17.9233        19.5735        9.41111       -3.95361       -4.47485       -3.24568           1000           1000
        4.29974       0.149974       0.450243       0.484779     0.00340817       0.122705         100.23        111.026        1.18887        1.93607        2.05207    0.000206219      0.0022268        18.7234         20.479        10.0723       -4.04634       -4.58234       -3.36819           1000           1000
        4.39973       0.149974       0.459986       0.495621     0.00352226       0.126812         100.23        111.026        1.18887        1.93613        2.05199    0.000206219      0.0022268         19.542        21.4061        10.7579       -4.13907       -4.68983       -3.49071           1000           1000
        4.49972       0.149974       0.469742       0.506473     0.00363666       0.130931         100.23        111.026        1.18887        1.93618        2.05191     0.00020622      0.0022268        20.3792        22.3546         11.468        -4.2318       -4.79733       -3.61322           1000           1000
        4.59971       0.149974        0.47951       0.517335     0.00375133        0.13506         100.23        111.026        1.18887        1.93624        2.05183     0.00020622     0.00222681        21.2349        23.3247        12.2026       -4.32452       -4.90484       -3.73573           1000           1000
        4.69971       0.149974       0.489288       0.528207     0.00386626       0.139197         100.23        111.026        1.18887        1.93629        2.05175    0.000206221     0.00222681        22.1091        24.3163        12.9617       -4.41724       -5.01236       -3.85824           1000           1000
         4.7997       0.149974       0.499075       0.539088     0.00398142       0.143343         100.23        111.026        1.18887        1.93635        2.05167    0.000206221     0.00222682        23.0018        25.3294        13.7454       -4.50995       -5.11989       -3.98075           1000           1000
        4.89969       0.149974       0.508873       0.549977     0.00409679       0.147497         100.23        111.026        1.18887        1.93641        2.05159    0.000206222     0.00222682        23.9131        26.3641        14.5534       -4.60265       -5.22742       -4.10326           1000           1000
        4.99968       0.149974       0.518679       0.560874     0.00421235       0.151658         100.23        111.026        1.18887        1.93646        2.05151    0.000206222     0.00222683        24.8429        27.4202         15.386       -4.69535       -5.33497       -4.22577           1000           1000
        5.09967       0.149974       0.528494       0.571779     0.00432809       0.155824         100.23        111.026        1.18887        1.93652        2.05143    0.000206223     0.00222683        25.7912        28.4979        16.2431       -4.78804       -5.44252       -4.34827           1000           1000
        5.19966       0.149974       0.538316       0.582691     0.00444399       0.159997         100.23        111.026        1.18887        1.93657        2.05135    0.000206223     0.00222684         26.758        29.5972        17.1247       -4.88073       -5.55008       -4.47078           1000           1000
        5.29965       0.149974       0.548146       0.593609     0.00456004       0.164176         100.23        111.026        1.18887        1.93663        2.05127    0.000206224     0.00222684        27.7434        30.7179        18.0307       -4.97342       -5.65765       -4.59329           1000           1000
        5.39964       0.149974       0.557983       0.604534     0.00467624       0.168359         100.23        111.026        1.18887        1.93669        2.05119    0.000206224     0.00222685        28.7473        31.8602        18.9613       -5.06609       -5.76522       -4.71579           1000           1000
        5.49963       0.149974       0.567827       0.615464     0.00479256       0.172547         100.23        111.026        1.18887        1.93674        2.05111    0.000206225     0.00222686        29.7697        33.0241        19.9163       -5.15877       -5.87281        -4.8383           1000           1000
        5.59962       0.149974       0.577678       0.626401     0.00490901        0.17674         100.23        111.026        1.18887         1.9368        2.05103    0.000206225     0.00222686        30.8106        34.2094        20.8958       -5.25143        -5.9804        -4.9608           1000           1000
        5.69962       0.149974       0.587534       0.637342     0.00502557       0.180936         100.23        111.026        1.18887        1.93685        2.05095    0.000206226     0.00222687        31.8701        35.4164        21.8998       -5.34409         -6.088        -5.0833           1000           1000
        5.79961       0.149974       0.597396       0.648289     0.00514223       0.185136         100.23        111.026        1.18887        1.93691        2.05087    0.000206226     0.00222687         32.948        36.6449        22.9283       -5.43675       -6.19561        -5.2058           1000           1000
