0.002  -0.012  0  -33.7549 	202.329 	138.364 	-3.29224e-08 	-5.49239e-09 	-4.53276e-13 	
0.004  -0.012  0  -65.4624 	195.257 	123.541 	-3.1771e-08 	-1.06506e-08 	-4.68509e-12 	
0.006  -0.012  0  -92.873 	183.976 	100.887 	-2.99347e-08 	-1.51092e-08 	-5.56535e-12 	
0.008  -0.012  0  -112.912 	168.97 	71.7324 	-2.74923e-08 	-1.83694e-08 	-6.98355e-12 	
0.01  -0.012  0  -125.207 	150.862 	38.198 	-2.34623e-08 	-2.03703e-08 	-8.69462e-12 	
0.012  -0.012  0  -129.808 	129.807 	4.73528 	-1.24519e-08 	-1.24516e-08 	-8.67982e-12 	
0.014  -0.012  0  -9.11244 	30.1888 	0.551784 	0 	0 	0 	
0.016  -0.012  0  0 	0 	0 	0 	0 	0 	
0.018  -0.012  0  0 	0 	0 	0 	0 	0 	
-0.018  -0.01  0  0 	0 	0 	0 	0 	0 	
-0.016  -0.01  0  0 	37.2371 	0 	0 	0 	0 	
-0.014  -0.01  0  136.687 	98.2937 	8.27677 	0 	0 	0 	
-0.012  -0.01  0  150.862 	125.205 	38.1978 	-2.03696e-08 	2.34582e-08 	1.4422e-11 	
-0.01  -0.01  0  144.302 	144.3 	80.4993 	-2.34774e-08 	2.34738e-08 	1.33818e-11 	
-0.008  -0.01  0  129.095 	160.758 	119.449 	-2.61567e-08 	2.09993e-08 	1.04039e-11 	
-0.006  -0.01  0  105.674 	174.305 	152.703 	-2.83623e-08 	1.7189e-08 	8.81676e-12 	
-0.004  -0.01  0  74.1782 	184.49 	178.437 	-3.00197e-08 	1.20659e-08 	6.78266e-12 	
-0.002  -0.01  0  38.1621 	190.953 	195.21 	-3.10707e-08 	6.20686e-09 	4.53218e-12 	
3.46945e-18  -0.01  0  1.9762e-05 	193.499 	201.935 	-3.14865e-08 	-1.13094e-12 	2.10363e-12 	
0.002  -0.01  0  -38.1621 	190.953 	195.21 	-3.10729e-08 	-6.20898e-09 	-6.23358e-13 	
0.004  -0.01  0  -74.1782 	184.49 	178.437 	-3.00213e-08 	-1.20678e-08 	-3.73639e-12 	
0.006  -0.01  0  -105.674 	174.305 	152.703 	-2.83632e-08 	-1.71916e-08 	-7.10628e-12 	
0.008  -0.01  0  -129.095 	160.758 	119.449 	-2.61573e-08 	-2.10023e-08 	-7.95995e-12 	
0.01  -0.01  0  -144.302 	144.3 	80.4993 	-2.34782e-08 	-2.34767e-08 	-1.0377e-11 	
0.012  -0.01  0  -150.862 	125.205 	38.1978 	-2.03712e-08 	-2.34606e-08 	-1.2619e-11 	
0.014  -0.01  0  -136.687 	98.2937 	8.27677 	0 	0 	0 	
0.016  -0.01  0  0 	37.2371 	0 	0 	0 	0 	
0.018  -0.01  0  0 	0 	0 	0 	0 	0 	
-0.018  -0.008  0  119.102 	0 	0 	0 	0 	0 	
-0.016  -0.008  0  119.102 	35.9729 	5.5015 	0 	0 	0 	
-0.014  -0.008  0  169.07 	93.1019 	26.2931 	-1.51464e-08 	2.5541e-08 	1.43083e-11 	
-0.012  -0.008  0  168.969 	112.909 	71.7316 	-1.83704e-08 	2.74858e-08 	1.51797e-11 	
-0.01  -0.008  0  160.759 	129.092 	119.448 	-2.10043e-08 	2.615e-08 	1.44567e-11 	
-0.008  -0.008  0  143.135 	143.132 	162.776 	-2.32906e-08 	2.32831e-08 	1.18204e-11 	
-0.006  -0.008  0  116.766 	154.695 	199.584 	-2.51732e-08 	1.89929e-08 	9.20925e-12 	
-0.004  -0.008  0  81.7695 	163.398 	227.992 	-2.65893e-08 	1.3299e-08 	7.15857e-12 	
-0.002  -0.008  0  42.0118 	168.944 	246.467 	-2.74916e-08 	6.83328e-09 	4.69521e-12 	
3.46945e-18  -0.008  0  2.48856e-05 	171.135 	253.863 	-2.785e-08 	-6.18937e-13 	1.15919e-12 	
0.002  -0.008  0  -42.0118 	168.944 	246.467 	-2.74935e-08 	-6.83524e-09 	-1.87548e-12 	
0.004  -0.008  0  -81.7694 	163.398 	227.992 	-2.6591e-08 	-1.33023e-08 	-3.58503e-12 	
0.006  -0.008  0  -116.766 	154.695 	199.584 	-2.51739e-08 	-1.89955e-08 	-7.28459e-12 	
0.008  -0.008  0  -143.135 	143.132 	162.776 	-2.3291e-08 	-2.32864e-08 	-9.15175e-12 	
0.01  -0.008  0  -160.759 	129.092 	119.448 	-2.1005e-08 	-2.61522e-08 	-1.12026e-11 	
0.012  -0.008  0  -168.969 	112.909 	71.7316 	-1.83714e-08 	-2.74874e-08 	-1.29823e-11 	
0.014  -0.008  0  -169.07 	93.1019 	26.2931 	-1.51475e-08 	-2.55425e-08 	-1.59003e-11 	
0.016  -0.008  0  -119.102 	35.9729 	5.5015 	0 	0 	0 	
0.018  -0.008  0  -119.102 	0 	0 	0 	0 	0 	
-0.018  -0.006  0  176.794 	0 	0 	0 	0 	0 	
-0.016  -0.006  0  176.794 	30.7831 	13.4841 	0 	0 	0 	
-0.014  -0.006  0  183.878 	78.805 	47.9087 	-1.28218e-08 	2.99107e-08 	1.73458e-11 	
-0.012  -0.006  0  183.975 	92.8685 	100.885 	-1.51122e-08 	2.99257e-08 	1.57818e-11 	
-0.01  -0.006  0  174.306 	105.668 	152.701 	-1.71975e-08 	2.83526e-08 	1.45136e-11 	
-0.008  -0.006  0  154.698 	116.76 	199.583 	-1.90036e-08 	2.5163e-08 	1.32142e-11 	
-0.006  -0.006  0  125.897 	125.891 	239.317 	-2.04899e-08 	2.04767e-08 	9.87779e-12 	
-0.004  -0.006  0  88.0319 	132.767 	269.928 	-2.16102e-08 	1.43181e-08 	6.39656e-12 	
-0.002  -0.006  0  45.1919 	137.155 	289.808 	-2.23263e-08 	7.35026e-09 	4.69513e-12 	
3.46945e-18  -0.006  0  2.82947e-05 	138.891 	297.76 	-2.26076e-08 	-1.05488e-12 	6.44392e-13 	
0.002  -0.006  0  -45.1919 	137.155 	289.808 	-2.2324e-08 	-7.35287e-09 	-3.43018e-12 	
0.004  -0.006  0  -88.0318 	132.767 	269.928 	-2.16082e-08 	-1.43218e-08 	-4.93142e-12 	
0.006  -0.006  0  -125.897 	125.891 	239.317 	-2.04889e-08 	-2.048e-08 	-7.01262e-12 	
0.008  -0.006  0  -154.698 	116.76 	199.583 	-1.90036e-08 	-2.5167e-08 	-9.2879e-12 	
0.01  -0.006  0  -174.306 	105.668 	152.701 	-1.71981e-08 	-2.83557e-08 	-1.11426e-11 	
0.012  -0.006  0  -183.975 	92.8685 	100.885 	-1.51128e-08 	-2.9928e-08 	-1.30032e-11 	
0.014  -0.006  0  -183.878 	78.805 	47.9087 	-1.28224e-08 	-2.99126e-08 	-1.47723e-11 	
0.016  -0.006  0  -176.794 	30.7831 	13.4841 	0 	0 	0 	
0.018  -0.006  0  -176.794 	0 	0 	0 	0 	0 	
-0.018  -0.004  0  187.429 	0 	0 	0 	0 	0 	
-0.016  -0.004  0  187.429 	21.9882 	21.033 	-3.9951e-09 	2.80807e-08 	1.58425e-11 	
-0.014  -0.004  0  195.415 	56.0902 	67.2062 	-9.12743e-09 	3.17863e-08 	1.61715e-11 	
-0.012  -0.004  0  195.255 	65.4562 	123.538 	-1.06541e-08 	3.17595e-08 	1.53942e-11 	
-0.01  -0.004  0  184.49 	74.171 	178.433 	-1.20726e-08 	3.00077e-08 	1.41104e-11 	
-0.008  -0.004  0  163.402 	81.7617 	227.989 	-1.33083e-08 	2.65772e-08 	1.19513e-11 	
-0.006  -0.004  0  132.773 	88.0239 	269.926 	-1.43288e-08 	2.15945e-08 	9.48964e-12 	
-0.004  -0.004  0  92.7537 	92.7457 	302.198 	-1.50984e-08 	1.50866e-08 	5.78552e-12 	
-0.002  -0.004  0  47.5914 	95.7618 	323.137 	-1.55892e-08 	7.74008e-09 	3.91569e-12 	
3.46945e-18  -0.004  0  3.08334e-05 	96.9554 	331.508 	-1.57848e-08 	-1.73647e-12 	1.1599e-12 	
0.002  -0.004  0  -47.5914 	95.7618 	323.137 	-1.55895e-08 	-7.7436e-09 	-2.28685e-12 	
0.004  -0.004  0  -92.7537 	92.7457 	302.198 	-1.5098e-08 	-1.50902e-08 	-5.40731e-12 	
0.006  -0.004  0  -132.773 	88.0239 	269.926 	-1.43296e-08 	-2.15972e-08 	-8.0245e-12 	
0.008  -0.004  0  -163.401 	81.7617 	227.989 	-1.331e-08 	-2.65815e-08 	-1.11377e-11 	
